date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202022%2011:48:43%20GMT	https://copaga.club/robots.txt		(from )
16:48:43	77887/77887	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2004:19:26%20GMT	https://copaga.club/mlm/	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/index.html	(from )
16:48:44	71976/71976	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Sep%202022%2003:20:48%20GMT	https://copaga.club/mlm/css/animate.css	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/css/animate.css	(from https://copaga.club/mlm/)
16:48:44	2849/2849	---M--	200	added ('OK')	text/css	date:Sun,%2018%20Sep%202022%2016:57:25%20GMT	https://copaga.club/mlm/css/Featherlight.css	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/css/Featherlight.css	(from https://copaga.club/mlm/)
16:48:44	4175/4175	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Sep%202022%2003:25:26%20GMT	https://copaga.club/mlm/css/ResponsiveNav.css	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/css/ResponsiveNav.css	(from https://copaga.club/mlm/)
16:48:45	40443/40443	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2015:29:04%20GMT	https://copaga.club/mlm/css/style.css	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/css/style.css	(from https://copaga.club/mlm/)
16:48:45	4488/4488	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Sep%202022%2002:25:50%20GMT	https://copaga.club/mlm/css/jquerybxslider.css	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/css/jquerybxslider.css	(from https://copaga.club/mlm/)
16:48:47	44153/44153	---M--	200	added ('OK')	image/png	etag:%2260ee7a93-ac79%22	https://1538266836.rsc.cdn77.org/_common/images/money-business-256.png	C:/My%20Web%20Sites/Copaga%202/1538266836.rsc.cdn77.org/_common/images/money-business-256.png	(from https://copaga.club/mlm/)
16:48:47	162264/162264	---M-Z	200	added ('OK')	text/css	etag:W/%22279d8-G+N7YjBsjAxndbtMk8XkxOE9l3U%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/Copaga%202/cdn.jsdelivr.net/npm/bootstrap@4.6.2/dist/css/bootstrap.min.css	(from https://copaga.club/mlm/)
16:48:48	54456/54456	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-d4b8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.7.1/css/all.min.css	C:/My%20Web%20Sites/Copaga%202/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.7.1/css/all.min.css	(from https://copaga.club/mlm/)
16:48:48	53029/53029	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-cf25%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.7.1/css/fontawesome.min.css	C:/My%20Web%20Sites/Copaga%202/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.7.1/css/fontawesome.min.css	(from https://copaga.club/mlm/)
16:48:48	724/724	---M--	200	added ('OK')	application/javascript	date:Sun,%2011%20Sep%202022%2003:32:42%20GMT	https://copaga.club/mlm/js/public.js	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/js/public.js	(from https://copaga.club/mlm/)
16:48:49	43071/43071	---M--	200	added ('OK')	image/png	etag:%2263237ca3-a83f%22	https://1538266836.rsc.cdn77.org/_common/videos/andreaskalcker/___COPAGA-SITE-IMAGES/La-Red-del-Club-de-la-Riqueza-400PX-GOLD.png	C:/My%20Web%20Sites/Copaga%202/1538266836.rsc.cdn77.org/_common/videos/andreaskalcker/___COPAGA-SITE-IMAGES/La-Red-del-Club-de-la-Riqueza-400PX-GOLD.png	(from https://copaga.club/mlm/)
16:48:50	5546/5546	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2012:29:08%20GMT	https://copaga.club/mlm/package1.html	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/package1.html	(from https://copaga.club/mlm/)
16:48:50	5712/5712	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2012:29:11%20GMT	https://copaga.club/mlm/package2.html	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/package2.html	(from https://copaga.club/mlm/)
16:48:50	5717/5717	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2012:29:15%20GMT	https://copaga.club/mlm/package3.html	C:/My%20Web%20Sites/Copaga%202/copaga.club/mlm/package3.html	(from https://copaga.club/mlm/)
16:48:52	70647/70647	---M--	200	added ('OK')	image/png	etag:%22632594c2-113f7%22	https://cdn.networkwealthclub.com/_common/images/copaga/La-Red-LOGO-GOLD-300PX.png	C:/My%20Web%20Sites/Copaga%202/cdn.networkwealthclub.com/_common/images/copaga/La-Red-LOGO-GOLD-300PX.png	(from https://copaga.club/mlm/)
16:48:53	82380/82380	---M--	200	added ('OK')	image/jpeg	etag:%2262a87b47-141cc%22	https://1538266836.rsc.cdn77.org/_common/videos/___NWC/1230.02-MORE-VOICES-VIDEO-PLATFORM-AND-VIDEO-CONFERENCES-English.jpg	C:/My%20Web%20Sites/Copaga%202/1538266836.rsc.cdn77.org/_common/videos/___NWC/1230.02-MORE-VOICES-VIDEO-PLATFORM-AND-VIDEO-CONFERENCES-English.jpg	(from https://copaga.club/mlm/)
